2019,984
2017,950
2021,926
2013,889
2015,835
2018,833
2014,826
2006,812
2016,807
2012,772
2020,729
2007,706
2005,661
2008,652
2009,595
2004,592
2011,537
2022,525
2003,521
2010,437
2002,262
