陈雨露副校长会见日本埼玉大学代表团,https://news.ruc.edu.cn/archives/6268,2007-10-24
人民大学成立现代逻辑与科学技术哲学研究所,https://news.ruc.edu.cn/archives/6269,2007-10-21
河南省安阳市赠司母戊大方鼎仿制品贺人民大学70周年校庆,https://news.ruc.edu.cn/archives/6270,2007-10-21
程天权书记检查校园安全工作 要求确保校园安全稳定,https://news.ruc.edu.cn/archives/6271,2007-10-21
“传承延安精神 谱写时代篇章”主题座谈会召开,https://news.ruc.edu.cn/archives/6272,2007-10-21
牛维麟常务副书记兼副校长到环境学院调研,https://news.ruc.edu.cn/archives/6273,2007-10-21
罗干同志亲自打来电话向中国人民大学七十周年校庆表示祝贺,https://news.ruc.edu.cn/archives/6274,2007-10-21
林岗副校长率团参加教育部人文社会科学重点研究基地工作会议,https://news.ruc.edu.cn/archives/6275,2007-10-21
汤维健等7人被选为民主党派北京市委成员,https://news.ruc.edu.cn/archives/6276,2007-10-21
中国人民大学知名教授联袂解读十七大 思想政治教育创新形式取得实效,https://news.ruc.edu.cn/archives/6277,2007-10-21
牛维麟常务副书记主持召开庆典活动总指挥部第二次会议 统筹协调校庆工作,https://news.ruc.edu.cn/archives/6278,2007-10-21
海淀区区委常委、区委办公室主任刘鸿一行到人民大学现场办公 协调解决人大校园环境有关问题,https://news.ruc.edu.cn/archives/6279,2007-10-21
贺国强同志向中国人民大学七十周年校庆表示祝贺,https://news.ruc.edu.cn/archives/6281,2007-10-21
《中国人民大学之歌》被正式确定为中国人民大学校歌,https://news.ruc.edu.cn/archives/6282,2007-10-21
美国全国州立大学和赠地学院协会主席访问人民大学,https://news.ruc.edu.cn/archives/6283,2007-10-21
纪宝成校长率团访问欧洲四国,https://news.ruc.edu.cn/archives/6284,2007-10-21
程天权书记列席中国共产党第十七次全国代表大会,https://news.ruc.edu.cn/archives/6285,2007-10-21
学校党委理论中心组集体收看十七大开幕式并举行座谈 胡锦涛总书记报告引起强烈反响,https://news.ruc.edu.cn/archives/6286,2007-10-21
“中欧论坛2007”成功举行 在国内外产生广泛影响,https://news.ruc.edu.cn/archives/6287,2007-10-09
83级校友集体捐赠“八百人大教室修缮基金”,https://news.ruc.edu.cn/archives/6288,2007-10-09
中国人民大学83级本科生重聚首 毕业20周年母校叙真情,https://news.ruc.edu.cn/archives/6289,2007-10-09
第五届吴玉章人文社会科学奖评奖结果初步揭晓,https://news.ruc.edu.cn/archives/6290,2007-10-09
巴黎十大副校长代表团来访人民大学,https://news.ruc.edu.cn/archives/6291,2007-10-09
学校召开进一步加强和改进党建与思想政治工作座谈会,https://news.ruc.edu.cn/archives/6292,2007-10-09
纪宝成校长当选为中国作家协会会员,https://news.ruc.edu.cn/archives/6293,2007-10-09
党委书记程天权会见挪威管理学院Kjell A. Eliassen教授,https://news.ruc.edu.cn/archives/6294,2007-10-09
陈雨露副校长中秋佳节亲切看望留学生,https://news.ruc.edu.cn/archives/6295,2007-10-09
陈雨露副校长率团赴台参加第二届人大—辅大联合研讨会,https://news.ruc.edu.cn/archives/6296,2007-10-09
励志自强 爱在中秋——中国人民大学举办中秋师生联欢晚会,https://news.ruc.edu.cn/archives/6297,2007-10-09
纪宝成校长出席哈尔滨商业大学55周年校庆庆典,https://news.ruc.edu.cn/archives/6298,2007-10-09
台湾政治大学吴思华校长率团访问人民大学,https://news.ruc.edu.cn/archives/6299,2007-10-09
俄罗斯财政科学院校长代表团访问人民大学,https://news.ruc.edu.cn/archives/6300,2007-10-09
马俊杰副书记会见国家体育馆主任李国一行,https://news.ruc.edu.cn/archives/6301,2007-10-09
加拿大纽芬兰纪念大学校长访问人民大学,https://news.ruc.edu.cn/archives/6302,2007-10-09
纪宝成校长拜见著名国学大师、红学家冯其庸先生,https://news.ruc.edu.cn/archives/6303,2007-10-09
国际关系学院党政领导班子调整 原联合国副秘书长陈健出任院长,https://news.ruc.edu.cn/archives/6304,2007-10-09
财政金融学院领导班子调整　郭庆旺担任院长,https://news.ruc.edu.cn/archives/6305,2007-10-09
83级校友集体捐赠“八百人大教室修缮基金”,https://news.ruc.edu.cn/archives/6306,2007-10-09
中国人民大学83级本科生重聚首 毕业20周年母校叙真情,https://news.ruc.edu.cn/archives/6307,2007-10-09
第五届吴玉章人文社会科学奖评奖结果初步揭晓,https://news.ruc.edu.cn/archives/6308,2007-10-09
巴黎十大副校长代表团来访人民大学,https://news.ruc.edu.cn/archives/6309,2007-10-09
学校召开进一步加强和改进党建与思想政治工作座谈会,https://news.ruc.edu.cn/archives/6310,2007-10-09
纪宝成校长当选为中国作家协会会员,https://news.ruc.edu.cn/archives/6311,2007-10-09
党委书记程天权会见挪威管理学院Kjell A. Eliassen教授,https://news.ruc.edu.cn/archives/6312,2007-10-09
陈雨露副校长中秋佳节亲切看望留学生,https://news.ruc.edu.cn/archives/6313,2007-10-09
陈雨露副校长率团赴台参加第二届人大—辅大联合研讨会,https://news.ruc.edu.cn/archives/6314,2007-10-09
励志自强 爱在中秋——中国人民大学举办中秋师生联欢晚会,https://news.ruc.edu.cn/archives/6315,2007-10-09
两名人大学子将参加2008年北京奥运火炬接力珠峰传递,https://news.ruc.edu.cn/archives/6316,2007-10-09
