中国人民大学师生热切关注十九大 集体收听收看开幕盛况,https://news.ruc.edu.cn/archives/183353,2017-10-18
劳动人事学院赵履宽教授从教65周年座谈会举行,https://news.ruc.edu.cn/archives/183109,2017-10-18
津巴布韦大学举办孔子学院成立十周年庆典,https://news.ruc.edu.cn/archives/182858,2017-10-18
中国人民大学召开深入学习贯彻习近平总书记给南开大学新入伍大学生回信精神师生代表座谈会,https://news.ruc.edu.cn/archives/183209,2017-10-18
中国人民大学召开迎接本科教学工作审核评估工作小组专题会议,https://news.ruc.edu.cn/archives/183095,2017-10-18
砥砺奋进中的“人大红”,https://news.ruc.edu.cn/archives/183182,2017-10-17
“思入微茫──高毅、黄华三水墨作品展”开幕,https://news.ruc.edu.cn/archives/182900,2017-10-17
中国人民大学第六届体育文化节开幕 新生田径运动会举行,https://news.ruc.edu.cn/archives/182958,2017-10-17
第八届“黄达—蒙代尔经济学奖”颁奖 “现代经济与金融研究中的历史维度”学术研讨会举办,https://news.ruc.edu.cn/archives/183021,2017-10-17
吴付来副书记应邀率团赴新加坡访问,https://news.ruc.edu.cn/archives/183037,2017-10-17
中国人民大学举行2003级校友毕业10周年返校庆典,https://news.ruc.edu.cn/archives/183265,2017-10-17
中国人民大学举办党务干部培训班,https://news.ruc.edu.cn/archives/182950,2017-10-17
北京国际摄影周“中国百名企业家摄影联展”在中国人民大学举办,https://news.ruc.edu.cn/archives/182930,2017-10-16
广西2018年定向中国人民大学引进优秀毕业生宣讲会举办,https://news.ruc.edu.cn/archives/182821,2017-10-16
津巴布韦大学孔子学院召开“一带一路”主题座谈会,https://news.ruc.edu.cn/archives/182702,2017-10-15
“百团大战” 学生社团集体招新,https://news.ruc.edu.cn/archives/182771,2017-10-15
信息学院杜小勇教授应中纪委邀请讲授“廉洁文化公开课”,https://news.ruc.edu.cn/archives/182619,2017-10-15
靳诺书记一行赴南开大学、天津大学调研,https://news.ruc.edu.cn/archives/182724,2017-10-14
国家教育行政学院举办“大学管理者论坛” 吴晓球副校长作交流发言,https://news.ruc.edu.cn/archives/183757,2017-10-14
中国人民大学聘任首批412位杰出学者 新聘任7位一级教授、3位荣誉一级教授,https://news.ruc.edu.cn/archives/182811,2017-10-13
中国人民大学党委理论学习中心组（扩大）会议召开,https://news.ruc.edu.cn/archives/182699,2017-10-13
中国人民大学与中央社会主义学院签署战略合作协议,https://news.ruc.edu.cn/archives/182679,2017-10-13
