学校领导班子成员集体观看“反腐倡廉警示教育展览”,https://news.ruc.edu.cn/archives/4465,2010-06-24
牛维麟常务副书记出席第六届中国国际徽商大会,https://news.ruc.edu.cn/archives/4466,2010-06-23
中国人民大学自行审核外国语言文学博士学位授权一级学科点评审会顺利举行,https://news.ruc.edu.cn/archives/4467,2010-06-23
中国人民大学召开“计算机科学与技术”博士学位授权一级学科点专家评议会,https://news.ruc.edu.cn/archives/4468,2010-06-23
巴黎第四大学校长访问人民大学 王利明副书记兼副校长会见,https://news.ruc.edu.cn/archives/4469,2010-06-22
中国人民大学与中国移动签署《校园无线网络合作协议》,https://news.ruc.edu.cn/archives/4470,2010-06-22
2010年毕业周相关活动部署会议召开 袁卫常务副校长主持,https://news.ruc.edu.cn/archives/4471,2010-06-22
第三届曾宪梓助残研究基金奖颁发,https://news.ruc.edu.cn/archives/4472,2010-06-21
中国人民大学2010届毕业生代表座谈会召开,https://news.ruc.edu.cn/archives/4473,2010-06-21
袁卫常务副校长率团成功访问欧洲,https://news.ruc.edu.cn/archives/4474,2010-06-21
人民大学与法国马赛商学院签署合作协议 开展联合培养项目,https://news.ruc.edu.cn/archives/4475,2010-06-21
纪宝成校长宴请参加第十届中国人文社会科学论坛的著名学者,https://news.ruc.edu.cn/archives/4476,2010-06-21
“青春纪念册”中国人民大学2010届毕业生文艺晚会隆重举行    纪宝成校长出席并讲话,https://news.ruc.edu.cn/archives/4477,2010-06-19
“残障与发展论坛（2010）”在中国人民大学隆重举行,https://news.ruc.edu.cn/archives/4478,2010-06-18
中国人民大学召开党风廉政宣传教育专题报告会,https://news.ruc.edu.cn/archives/4479,2010-06-18
2010年国家公派留学人员出国行前培训会在人民大学举行,https://news.ruc.edu.cn/archives/4480,2010-06-18
加拿大戴尔豪西大学校长访问人民大学 纪宝成校长会见,https://news.ruc.edu.cn/archives/4481,2010-06-18
“节能攻坚 高校行动”启动仪式在中国人民大学举行,https://news.ruc.edu.cn/archives/4482,2010-06-17
爱尔兰总统麦卡利斯访问中国人民大学并发表演讲,https://news.ruc.edu.cn/archives/4483,2010-06-16
杨慧林副校长出席“2010年人文素质教育与科学素质教育的融合”高层论坛,https://news.ruc.edu.cn/archives/4484,2010-06-13
纪宝成校长出席北京工商大学校庆六十周年庆祝大会,https://news.ruc.edu.cn/archives/4485,2010-06-13
全球劳动科学精英齐聚 共论就业民生发展　中国人民大学第十届中国人文社会科学论坛纪实,https://news.ruc.edu.cn/archives/4486,2010-06-13
国学院首届学生毕业   纪宝成校长深情寄语在探索中前进,https://news.ruc.edu.cn/archives/4487,2010-06-12
杨慧林副校长出席“第二届中韩大学校长论坛”,https://news.ruc.edu.cn/archives/4488,2010-06-12
王利明教授应武汉仲裁委员会邀请作《中华人民共和国侵权责任法》专题讲座,https://news.ruc.edu.cn/archives/4489,2010-06-11
纪宝成校长率团成功访问美国哥伦比亚大学和莱斯大学,https://news.ruc.edu.cn/archives/4490,2010-06-11
王利明副书记兼副校长访问中南财经政法大学并与师生座谈,https://news.ruc.edu.cn/archives/4491,2010-06-11
王利明副书记兼副校长来国际学院部署工作 强调关键时期要全力以赴,https://news.ruc.edu.cn/archives/4492,2010-06-10
中国人民大学召开2009-2010学年第二学期本科教学期末工作会议,https://news.ruc.edu.cn/archives/4493,2010-06-10
校党委书记程天权一行赴安徽省安庆市考察,https://news.ruc.edu.cn/archives/4494,2010-06-10
薛浣白副校长应邀出席第十届中澳高等教育论坛,https://news.ruc.edu.cn/archives/4495,2010-06-10
前西班牙部长和欧盟委员索尔维斯先生演讲成功举办,https://news.ruc.edu.cn/archives/4496,2010-06-09
人民大学召开中层干部会议 传达全国人才工作会议等有关精神,https://news.ruc.edu.cn/archives/4497,2010-06-08
马俊杰副书记参加Universia第二届国际大学校长会议,https://news.ruc.edu.cn/archives/4498,2010-06-08
校地合作再添平台 苏州国际金融研究院在国际学院成立,https://news.ruc.edu.cn/archives/4499,2010-06-08
挪威科技大学代表团访问人民大学  杨慧林副校长会见,https://news.ruc.edu.cn/archives/4500,2010-06-08
密歇根大学常务副教务长兰斯特•孟茨教授率代表团来访,https://news.ruc.edu.cn/archives/4501,2010-06-08
纪宝成校长出席芝加哥大学孔子学院揭牌仪式并签署两校合作协议,https://news.ruc.edu.cn/archives/4502,2010-06-06
纪宝成校长率团访问耶鲁大学并签署两校学生交流协议,https://news.ruc.edu.cn/archives/4503,2010-06-06
中国人民大学举办教工党支部书记培训班,https://news.ruc.edu.cn/archives/4504,2010-06-05
人大学子参加首都部分高校大学生寒假基层党建社会调研实践活动总结会,https://news.ruc.edu.cn/archives/4505,2010-06-04
牛维麟常务副书记到图书馆调研并指导工作,https://news.ruc.edu.cn/archives/4506,2010-06-04
拉美国家媒体高级考察团访问人大 杨慧林副校长会见,https://news.ruc.edu.cn/archives/4507,2010-06-04
王利明副书记兼副校长会见美国圣智学习出版公司大中华区总裁陈锦煌一行,https://news.ruc.edu.cn/archives/4508,2010-06-03
中国人民大学举办“中国农村金融发展高层论坛” 纪宝成校长、冯慧玲副校长出席会议,https://news.ruc.edu.cn/archives/4509,2010-06-02
丹麦芬兰两所高校孔子学院到国际学院访问 杨慧林副校长出席活动,https://news.ruc.edu.cn/archives/4510,2010-06-02
王利明副书记兼副校长到国际学院部署工作并出席国际论坛,https://news.ruc.edu.cn/archives/4511,2010-06-02
教育部筹备第二十次咨询会分片座谈会在人民大学召开,https://news.ruc.edu.cn/archives/4512,2010-06-02
人民大学13个人文社科重点研究基地全部通过评估  3个基地获评优,https://news.ruc.edu.cn/archives/4513,2010-06-02
牛维麟常务副书记会见安徽省委宣传部陆勤毅副部长一行,https://news.ruc.edu.cn/archives/4514,2010-06-01
西班牙马德里卡洛斯三世大学代表团访问人民大学 薛浣白副校长会见,https://news.ruc.edu.cn/archives/4515,2010-06-01
剑桥大学代表团访问人民大学 纪宝成校长会见,https://news.ruc.edu.cn/archives/4516,2010-06-01
《李锡铭诗词手迹》赠书仪式在人民大学举行 王利明副书记兼副校长出席,https://news.ruc.edu.cn/archives/4517,2010-05-28
纪宝成校长一行考察革命圣地西柏坡,https://news.ruc.edu.cn/archives/4518,2010-05-28
纪宝成校长会见张磊校友,https://news.ruc.edu.cn/archives/4519,2010-05-27
薛浣白副校长参加国家汉办孔子学院“巡演、巡讲、巡展”总结会议,https://news.ruc.edu.cn/archives/4520,2010-05-26
林岗副校长看望国际学院（苏州研究院）师生,https://news.ruc.edu.cn/archives/4521,2010-05-26
人民大学与龙润集团（中国）有限公司签订战略合作协议 马俊杰副书记出席,https://news.ruc.edu.cn/archives/4522,2010-05-26
“2009中国合作经济年度成就奖”颁奖典礼成功举行 程天权书记出席典礼并致词,https://news.ruc.edu.cn/archives/4523,2010-05-25
中国人民大学党委书记程天权率人民大学代表团访问南美高校,https://news.ruc.edu.cn/archives/4524,2010-05-25
学校部署迎接“五五”普法检查验收工作  王利明副书记兼副校长出席会议并讲话,https://news.ruc.edu.cn/archives/4525,2010-05-25
纪宝成校长应邀出席中瑞创新论坛并发表演讲,https://news.ruc.edu.cn/archives/4526,2010-05-21
纪宝成校长会见商学院EQUIS国际认证专家评审组,https://news.ruc.edu.cn/archives/4527,2010-05-21
校友刘昕、朱波受聘中国人民大学校董,https://news.ruc.edu.cn/archives/4528,2010-05-21
公安部政治部来函 感谢王利明教授、刘少杰教授,https://news.ruc.edu.cn/archives/4529,2010-05-20
王利明副书记兼副校长到国际学院部署工作并出席学院多项活动,https://news.ruc.edu.cn/archives/4530,2010-05-19
牛维麟常务副书记出席“中国文化产品出口指数体系”发布会暨战略合作签约仪式,https://news.ruc.edu.cn/archives/4531,2010-05-19
人大文化科技园参加深圳文博会展位 牛维麟常务副书记出席,https://news.ruc.edu.cn/archives/4532,2010-05-19
以色列特拉维夫大学副校长访问中国人民大学　杨慧林副校长亲切会见,https://news.ruc.edu.cn/archives/4533,2010-05-18
人民大学大学生创新实验计划项目成果在全国科技活动周开幕式上展出 刘延东同志参观展览,https://news.ruc.edu.cn/archives/4534,2010-05-18
杨慧林副校长出席2010年北京市教育考试招生工作电视电话会议,https://news.ruc.edu.cn/archives/4535,2010-05-17
纪宝成校长一行访问延安大学、中国延安干部学院,https://news.ruc.edu.cn/archives/4536,2010-05-17
牛维麟常务副书记出席深圳校友会活动,https://news.ruc.edu.cn/archives/4537,2010-05-17
中国人民大学召开深入开展“创先争优”活动动员部署会,https://news.ruc.edu.cn/archives/4538,2010-05-15
